TERM;POSITION;TYPE;MODE;URI;CURRENT_TERM;AMBIGUOUS;ANOTHER_MEANING;ANOTHER_MEANING_URI;DESCRIPTION;GAZETTEER;VERIFICATION
Francos;143697;PLN;FT;http://sws.geonames.org/6698661; ;not;;;null;Geonames;FOUND
Sancta;143724;PPN;GENT; ;;;;;;;VALIDATE
Maria;143732;PN;FT;;;;;;;;FOUND
Seuilla;143741;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Pere;143795;PLN;FT;http://sws.geonames.org/3114399; ;not;;;null;Medieval;FOUND
Girona;143803;PLN;FT;http://sws.geonames.org/6534067;Cherona,Chirona,Djirona,Gerona,Gerone,Gerunda,Girono,Gorad Zhyrona,Gérone,Kherona,Kheronae,Kit-lo-nap-sen,Kit-lò-na̍p-sén,Xerona,Xirona,Zhirona,Zirona,gyrwna,he luo na,jilona,jirona,jrndt,jyrwna,khyrwna,zyrwnh,Ĝirono,Žirona,Ζιρόνα,Ђирона,Горад Жырона,Жирона,Херонæ,Херона,Խիրոնա,זירונה,זשיראנע,جرندة,جیرونا,خیرونا,گیرونا,ジローナ,赫罗纳,지로나;not;;;null;Geonames;FOUND
Rey;143868;PLN;FT;http://sws.geonames.org/3111903;Rey;not;;;null;Medieval;FOUND
cosa;144446;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Fecha;144697;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Rey;144740;PLN;FT;http://sws.geonames.org/3111903;Rey;not;;;null;Medieval;FOUND
Aluar;144836;PN;FT;;;;;;;;FOUND
Garcia;144842;PN;FT;;;yes;APLN;;;;FOUND
Fromesta;144852;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Alfonso;144905;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Conoscida;144921;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Alfonso;144992;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Dios;145017;PN;FT;;;;;;;;FOUND
Castiella;145030;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;145043;PLN;FT;http://sws.geonames.org/6361828/;Toledo;not;;;null;Medieval;FOUND
Leon;145053;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;145061;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilla;145073;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;145084;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murçia;145095;PLN;FT;http://sws.geonames.org/6362997/;Murcia;not;;; ;Medieval;FOUND
Jaen;145107;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Yolant;145139;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Berenguella;145183;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Baeça;145221;PLN;FT;https://pleiades.stoa.org/places/266099;Baeza;not;;;null;Medieval;FOUND
Ferrando;145271;PN;FT; ; ;not; ; ; ; ;FOUND
Vbeda;145371;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Reçena;145435;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Baeça;145466;PLN;FT;https://pleiades.stoa.org/places/266099;Baeza;not;;;null;Medieval;FOUND
Baeça;145526;PLN;FT;https://pleiades.stoa.org/places/266099;Baeza;not;;;null;Medieval;FOUND
cosa;145880;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Fecha;146109;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Alfonso;146268;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Yolant;146310;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Algarue;146439;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Alfonso;146506;PN;FT;;;yes;APLN;;;;FOUND
Molina;146517;PN;FT;;;yes;APLN;;;;FOUND
Frederic;146542;PPN;PPT;;;;;;;;VALIDATE
Enrric;146565;PN;FT;;;;;;;;FOUND
Manuel;146586;PN;FT;;;;;;;;FOUND
Ferrando;146607;PN;FT;;;;;;;;FOUND
Felip;146630;PN;FT;;;;;;;;FOUND
Seuilla;146647;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Sancho;146669;PN;FT;;;;;;;;FOUND
Toledo;146687;PLN;FT;http://sws.geonames.org/6361828/;Toledo;not;;;null;Medieval;FOUND
Johan;146708;PN;FT;;;;;;;;FOUND
Santiague;146728;PLN;FT;http://sws.geonames.org/9224885; ;not;;;null;Medieval;FOUND
Aboabdille;146753;PPN;PPT;;;;;;;;VALIDATE
Naçar;146770;PLN;FT;http://sws.geonames.org/6359730; ;not; ; ;null;Medieval;FOUND
Granada;146783;PLN;FT;http://sws.geonames.org/6357709;Granada;not;;;null;Medieval;FOUND
Mahomat;146822;PN;FT;;;;;;;;FOUND
Mahomat;146836;PN;FT; ; ;not; ; ; ; ;FOUND
Hut;146849;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Murçia;146860;PLN;FT;http://sws.geonames.org/6362997/;Murcia;not;;; ;Medieval;FOUND
Aben;146898;PPN;PPT;;;;;;;;VALIDATE
Mahfot;146903;PPN;PPT;;;;;;;;VALIDATE
Niebla;146918;PLN;FT;https://pleiades.stoa.org/places/256221;Niebla;not;;;null;Medieval;FOUND
Aparicio;146961;PPN;PPT;;;;;;;;VALIDATE
Burgos;146981;PLN;FT;http://sws.geonames.org/6356377;Burgi,Burgos,Burgosas,Burgoso,Burgus,brghsh,brgws,bu er ge si,buleugoseu,bur kos,burugosu,bwrgws,Бургос,Бурґос,برغش,برگوس,بورگوس,บูร์โกส,ブルゴス,布尔戈斯,부르고스;not;;;null;Geonames;FOUND
Rodrigo;147003;PPN;PPT;;;;;;;;VALIDATE
Palençia;147022;PLN;FT;http://sws.geonames.org/6360072/;Palencia;not;;; ;Medieval;FOUND
Remondo;147046;PPN;PPT;;;;;;;;VALIDATE
Segouia;147065;PLN;FT;http://pleiades.stoa.org/places/236658;Segovia;not;;; ;Medieval;FOUND
Pedro;147088;PN;FT;;;;;;;;FOUND
Siguença;147105;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Gil;147129;PPN;PPT;;;;;;;;VALIDATE
Mathe;147160;PPN;PPT;;;;;;;;VALIDATE
Cuenca;147177;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Benito;147199;PPN;PPT;;;;;;;;VALIDATE
Auila;147217;PLN;FT;http://pleiades.stoa.org/places/236361;Ávila;not;;; ;Medieval;FOUND
Aznar;147235;PPN;PPT;;;;;;;;VALIDATE
Calahorra;147252;PLN;FT;http://sws.geonames.org/6359026; ;not;;;null;Geonames;FOUND
Lop;147277;PPN;PPT;;;;;;;;VALIDATE
Cordoua;147292;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Adam;147315;PN;FT;;;;;;;;FOUND
Plazencia;147331;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Pascual;147356;PPN;PPT;;;;;;;;VALIDATE
Jaen;147375;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Pedro;147397;PN;AT; ; ;yes;APLN;http://sws.geonames.org/3114106;null;Geonames;FOUND
Cartagena;147413;PLN;FT;http://sws.geonames.org/6359521; ;not;;;null;Geonames;FOUND
Fernant;147438;PN;FT;;;;;;;;FOUND
Ordonnez;147446;PPN;PPT;;;;;;;;VALIDATE
Calatraua;147467;PLN;FT; ; ;not;;; ;Medieval;FOUND
Nunno;147489;PPN;PPT;;;;;;;;VALIDATE
Gonçaluez;147495;PPN;PPT;;;;;;;;VALIDATE
Alfonso;147520;PN;FT;;;;;;;;FOUND
Lopez;147528;PPN;PPT;;;;;;;;VALIDATE
Rodrigo;147549;PPN;PPT;;;;;;;;VALIDATE
Gonçaluez;147557;PPN;PPT;;;;;;;;VALIDATE
Symon;147582;PN;FT;;;;;;;;FOUND
Royz;147588;PN;FT;;;;;;;;FOUND
Alfonso;147608;PN;FT;;;;;;;;FOUND
Tellez;147616;PPN;PPT;;;;;;;;VALIDATE
Fernant;147638;PN;FT;;;;;;;;FOUND
Royz;147646;PN;FT;;;;;;;;FOUND
Pedro;147666;PN;FT;;;;;;;;FOUND
Nunnez;147672;PN;FT;;;;;;;;FOUND
Nunno;147694;PPN;PPT;;;;;;;;VALIDATE
Guillem;147700;PN;FT;;;;;;;;FOUND
Pedro;147723;PN;FT;;;;;;;;FOUND
Guzman;147729;PN;FT;;;;;;;;FOUND
Rodrig;147751;PPN;PPT;;;;;;;;VALIDATE
Aluarez;147758;PN;FT;;;;;;;;FOUND
Ferrant;147781;PPN;PPT;;;;;;;;VALIDATE
Garcia;147789;PN;FT;;;;;;;;FOUND
Diago;147811;PPN;PPT;;;;;;;;VALIDATE
Gomez;147817;PN;FT;;;;;;;;FOUND
Gomez;147838;PN;FT;;;;;;;;FOUND
Royz;147844;PN;FT;;;;;;;;FOUND
Gaston;147864;PPN;PPT;;;;;;;;VALIDATE
Beart;147884;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Guy;147905;PPN;PPT;;;;;;;;VALIDATE
Limoges;147922;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Diego;147965;PN;FT;;;yes;APLN;;;;FOUND
Haro;147980;PPN;PPT;;;yes;APLN;;;;VALIDATE
Juan;148018;PN;FT;;;;;;;;FOUND
Garcia;148023;PN;FT;;;;;;;;FOUND
La;148073;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Leon;148087;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Pedro;148112;PN;FT;;;;;;;;FOUND
Ouiedo;148129;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Pedro;148151;PN;FT;;;;;;;;FOUND
C'amora;148168;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Pedro;148191;PN;FT;;;;;;;;FOUND
Salamanca;148208;PLN;FT;http://pleiades.stoa.org/places/236642;Salamanca;not;;; ;Medieval;FOUND
Pedro;148233;PN;FT;;;;;;;;FOUND
Astorga;148250;PLN;FT;http://sws.geonames.org/6358559;Astorga,Astorgo,Asturica Augusta,Estorga,a si tuo er jia,aseutoleuga,astrqt,astwrkha,asutoruga,Асторга,Աստորգա,آستورخا,أسترقة,アストルガ,阿斯托尔加,아스토르가;not;;;null;Geonames;FOUND
Leonart;148273;PPN;PPT;;;;;;;;VALIDATE
Cibdat;148292;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Migael;148314;PPN;PPT;;;;;;;;VALIDATE
Lugo;148332;PLN;FT;http://sws.geonames.org/6359189;Gorad Luga,Lougo,Lucus Augusti,Lugas,Lugo,Lugu,lu gao,lu ge,lu ko,lugo,luko,lwghw,lwgw,rugo,Λούγο,Горад Луга,Луго,Լուգո,לוגו,لوغو,لوگو,लूगो,லுகோ,ลูโก,ლუგო,ሉጎ,ルーゴ,卢戈,盧高,루고;not;;;null;Geonames;FOUND
Johan;148352;PN;FT;;;;;;;;FOUND
Orens;148369;PLN;FT;https://pleiades.stoa.orghttp://pleiades.stoa.org/places/992080;null;not;;;An ancient place, cited: BAtlas 101 M6 Oriens;Medieval;FOUND
Gil;148390;PPN;PPT;;;;;;;;VALIDATE
Tuy;148405;PLN;FT;http://sws.geonames.org/6360252;Tuj,Tuy,to~ui,tu yi,twy,Туй,توي,توی,トゥイ,图伊;not;;;null;Medieval;FOUND
Johan;148424;PN;FT;;;;;;;;FOUND
Mendonnedo;148441;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Pero;148467;PPN;PPT;;;;;;;;VALIDATE
Dominguez;148472;PPN;PPT;;;;;;;;VALIDATE
Coria;148493;PLN;FT;http://sws.geonames.org/6356764;Coria,Còria,Cória,Koria,Korija,ke li ya,qwryt,Кория,Корія,Կորիա,قورية,科里亚;not;;;null;Geonames;FOUND
Robert;148519;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Silue;148536;PLN;FT;https://pleiades.stoa.orghttp://pleiades.stoa.org/places/688028;null;not;;;An ancient place, cited: BAtlas 70 G1 Silo;Medieval;FOUND
Pelay;148557;PPN;PPT;;;;;;;;VALIDATE
Perez;148563;PN;FT;;;;;;;;FOUND
Orden;148584;UN;UNI;;;not;;;;;UNIDENTIFIED
Santiague;148593;PLN;FT;http://sws.geonames.org/9224885; ;not;;;null;Medieval;FOUND
Rodrigo;148618;PPN;PPT;;;;;;;;VALIDATE
Alfonso;148626;PN;FT;;;;;;;;FOUND
Martin;148649;PN;FT;;;;;;;;FOUND
Alfonso;148656;PN;FT;;;;;;;;FOUND
Rodrigo;148679;PPN;PPT;;;;;;;;VALIDATE
Gomez;148687;PN;FT;;;;;;;;FOUND
Rodrigo;148708;PPN;PPT;;;;;;;;VALIDATE
Frolaz;148716;PPN;PPT;;;;;;;;VALIDATE
Ferrant;148738;PPN;PPT;;;;;;;;VALIDATE
Yuannez;148746;PPN;PPT;;;;;;;;VALIDATE
Johan;148769;PN;FT;;;;;;;;FOUND
Perez;148775;PN;FT;;;;;;;;FOUND
Martin;148796;PN;FT;;;;;;;;FOUND
Gil;148803;PPN;PPT;;;;;;;;VALIDATE
Andreo;148822;PPN;PPT;;;;;;;;VALIDATE
Santiago;148844;PLN;FT;http://sws.geonames.org/9224885; ;not;;;null;Geonames;FOUND
Gonçaluo;148868;PN;FT;;;;;;;;FOUND
Rodriguez;148877;PN;FT;;;;;;;;FOUND
Rodrigo;148902;PPN;PPT;;;;;;;;VALIDATE
Rodriguez;148910;PN;FT;;;;;;;;FOUND
Aluar;148935;PN;FT;;;;;;;;FOUND
Diaz;148941;PN;FT;;;;;;;;FOUND
Pelay;148961;PPN;PPT;;;;;;;;VALIDATE
Perez;148967;PN;FT;;;;;;;;FOUND
Castiella;149019;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Garci;149037;PN;FT;;;;;;;;FOUND
Suarez;149043;UN;UNI;;;not;;;;;UNIDENTIFIED
Murçia;149077;PLN;FT;http://sws.geonames.org/6362997/;Murcia;not;;; ;Medieval;FOUND
Gonçaluo;149095;PN;FT;;;;;;;;FOUND
Morant;149104;UN;UNI;;;not;;;;;UNIDENTIFIED
Leon;149128;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Sancho;149242;PN;FT;;;yes;APLN;;;;FOUND
Martinez;149249;PN;FT;;;yes;APLN;;;;FOUND
Xodar;149261;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Ferrand;149312;PN;FT;;;;;;;;FOUND
Martin;149356;PN;FT;;;;;;;;FOUND
Ferrandez;149363;PN;FT;;;;;;;;FOUND
Aluar;149400;PN;FT;;;;;;;;FOUND
Garcia;149406;PN;FT;;;yes;APLN;;;;FOUND
Fromesta;149416;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Alfonso;149469;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Connoscida;149485;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Alfonso;149558;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Dios;149583;PN;FT;;;;;;;;FOUND
Castiella;149596;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;149609;PLN;FT;http://sws.geonames.org/6361828/;Toledo;not;;;null;Medieval;FOUND
Leon;149619;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;149627;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilla;149639;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;149650;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murcia;149661;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Jahen;149673;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;;null;Medieval;FOUND
Cordoua;149706;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Cordoua;149843;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Cordoua;149940;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Sant Migael;150024;PSTN;PPT;;;;;;;;VALIDATE
cosa;150211;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Fecha;150434;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Aluar;150567;PN;FT;;;;;;;;FOUND
Garcia;150573;PN;FT;;;yes;APLN;;;;FOUND
Fromesta;150583;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Alfonso;150636;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Connoscida;150652;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Alfonso;150718;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Dios;150743;PN;FT;;;;;;;;FOUND
Castiella;150769;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;150783;PLN;FT;http://sws.geonames.org/6361828/;Toledo;not;;;null;Medieval;FOUND
Leon;150793;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;150801;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilla;150813;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;150824;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murcia;150835;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Jahen;150847;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;;null;Medieval;FOUND
Yolant;150880;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Berenguella;150928;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Seuilla;151020;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Ferrando;151132;PN;FT; ; ;not; ; ; ; ;FOUND
Alcala;151276;PLN;FT;http://pleiades.stoa.org/places/246352;Alcalá de Henares;not;;;null;Medieval;FOUND
Guadayra;151286;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Alcazar;151635;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Seuilla;151646;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Alcaçar;151708;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Et ;152133;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Micero;152300;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Caxico;152308;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
cosa;152589;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Fecha;152817;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Alfonso;152973;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Reyna;153003;PLN;FT;https://pleiades.stoa.orghttp://pleiades.stoa.org/places/678362;null;not; ; ;An ancient place, cited: BAtlas 69 B4 Reina;Medieval;FOUND
Yolant;153015;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Algarue;153146;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Alfonso;153213;PN;FT;;;yes;APLN;;;;FOUND
Molina;153224;PN;FT;;;yes;APLN;;;;FOUND
Frederic;153245;PPN;PPT;;;;;;;;VALIDATE
Enrric;153273;PN;FT;;;;;;;;FOUND
Manuel;153294;PN;FT;;;;;;;;FOUND
Ferrando;153319;PN;FT;;;;;;;;FOUND
Felip;153342;PN;FT;;;;;;;;FOUND
Seuilla;153359;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Sancho;153385;PN;FT;;;;;;;;FOUND
Toledo;153403;PLN;FT;http://sws.geonames.org/6361828/;Toledo;not;;;null;Medieval;FOUND
Johan;153429;PN;FT;;;;;;;;FOUND
Santiago;153449;PN;FT;;;;;;;;FOUND
Aboabdille;153477;PPN;PPT;;;;;;;;VALIDATE
Naçar;153494;PLN;FT;http://sws.geonames.org/6359730; ;not; ; ;null;Medieval;FOUND
Granada;153507;PLN;FT;http://sws.geonames.org/6357709;Granada;not;;;null;Medieval;FOUND
Mahomat;153546;PN;FT;;;;;;;;FOUND
Mahomat;153560;PN;FT; ; ;not; ; ; ; ;FOUND
Hut;153573;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Murcia;153584;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Aben;153622;PPN;PPT;;;;;;;;VALIDATE
Mahfot;153627;PPN;PPT;;;;;;;;VALIDATE
Niebla;153642;PLN;FT;https://pleiades.stoa.org/places/256221;Niebla;not;;;null;Medieval;FOUND
Gaston;153681;PPN;PPT;;;;;;;;VALIDATE
Beart;153701;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Gui;153739;PPN;PPT;;;;;;;;VALIDATE
Limoges;153756;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Aparicio;153796;PPN;PPT;;;;;;;;VALIDATE
Burgos;153816;PLN;FT;http://sws.geonames.org/6356377;Burgi,Burgos,Burgosas,Burgoso,Burgus,brghsh,brgws,bu er ge si,buleugoseu,bur kos,burugosu,bwrgws,Бургос,Бурґос,برغش,برگوس,بورگوس,บูร์โกส,ブルゴス,布尔戈斯,부르고스;not;;;null;Geonames;FOUND
Rodrigo;153838;PPN;PPT;;;;;;;;VALIDATE
Palencia;153857;PLN;FT;http://sws.geonames.org/6360072; ;not;;;null;Geonames;FOUND
Remond;153881;PPN;PPT;;;;;;;;VALIDATE
Segouia;153899;PLN;FT;http://pleiades.stoa.org/places/236658;Segovia;not;;; ;Medieval;FOUND
Pedro;153922;PN;FT;;;;;;;;FOUND
Siguença;153939;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Gil;153963;PPN;PPT;;;;;;;;VALIDATE
Osma;153978;PLN;FT;http://sws.geonames.org/3114836;Osma;not;;;null;Geonames;FOUND
Mathe;153998;PPN;PPT;;;;;;;;VALIDATE
Cuenca;154015;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Benito;154037;PPN;PPT;;;;;;;;VALIDATE
Auila;154055;PLN;FT;http://pleiades.stoa.org/places/236361;Ávila;not;;; ;Medieval;FOUND
Aznar;154076;PPN;PPT;;;;;;;;VALIDATE
Calahorra;154093;PLN;FT;http://sws.geonames.org/6359026; ;not;;;null;Geonames;FOUND
Lop;154118;PPN;PPT;;;;;;;;VALIDATE
Cordoua;154133;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Adam;154156;PN;FT;;;;;;;;FOUND
Plazencia;154172;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Pascual;154197;PPN;PPT;;;;;;;;VALIDATE
Jahen;154216;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;;null;Medieval;FOUND
Pedro;154242;PN;AT; ; ;yes;APLN;http://sws.geonames.org/3114106;null;Geonames;FOUND
Cartagena;154258;PLN;FT;http://sws.geonames.org/6359521; ;not;;;null;Geonames;FOUND
Ferrand;154283;PN;FT;;;;;;;;FOUND
Ordonnez;154291;PPN;PPT;;;;;;;;VALIDATE
Orden;154315;UN;UNI;;;not;;;;;UNIDENTIFIED
Calatraua;154324;APLN;AT; ; ;yes;PN; ; ;Medieval;VALIDATE
Nunno;154349;PPN;PPT;;;;;;;;VALIDATE
Gonzalez;154355;PPN;PPT;;;;;;;;VALIDATE
Alfonso;154379;PN;FT;;;;;;;;FOUND
Lopez;154387;PPN;PPT;;;;;;;;VALIDATE
Rodrigo;154408;PPN;PPT;;;;;;;;VALIDATE
Gonzalez;154416;PPN;PPT;;;;;;;;VALIDATE
Symon;154440;PN;FT;;;;;;;;FOUND
Royz;154446;PN;FT;;;;;;;;FOUND
Alfonso;154466;PN;FT;;;;;;;;FOUND
Tellez;154474;PPN;PPT;;;;;;;;VALIDATE
Ferrand;154496;PN;FT;;;;;;;;FOUND
Royz;154504;PN;FT;;;;;;;;FOUND
Pedro;154524;PN;FT;;;;;;;;FOUND
Nunnez;154530;PN;FT;;;;;;;;FOUND
Nunno;154552;PPN;PPT;;;;;;;;VALIDATE
Guillem;154558;PN;FT;;;;;;;;FOUND
Pedro;154581;PN;FT;;;;;;;;FOUND
Guzman;154587;PN;FT;;;;;;;;FOUND
Rodrigo;154609;PPN;PPT;;;;;;;;VALIDATE
Aluarez;154617;PN;FT;;;;;;;;FOUND
Ferrand;154640;PN;FT;;;;;;;;FOUND
Garcia;154648;PN;FT;;;;;;;;FOUND
Alfonso;154670;PN;FT;;;;;;;;FOUND
Garcia;154678;PN;FT;;;;;;;;FOUND
Diego;154700;PN;FT;;;;;;;;FOUND
Gomez;154706;PN;FT;;;;;;;;FOUND
Gomez;154727;PN;FT;;;;;;;;FOUND
Royz;154733;PN;FT;;;;;;;;FOUND
Diego;154773;PN;FT;;;yes;APLN;;;;FOUND
Faro;154788;PPN;PPT;;;yes;APLN;;;;VALIDATE
Juan;154825;PN;FT;;;;;;;;FOUND
Garcia;154830;PN;FT;;;;;;;;FOUND
Pedro;154909;PN;FT;;;;;;;;FOUND
Ouiedo;154926;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Pedro;154948;PN;FT;;;;;;;;FOUND
C'amora;154965;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Pedro;154988;PN;FT;;;;;;;;FOUND
Salamanca;155005;PLN;FT;http://pleiades.stoa.org/places/236642;Salamanca;not;;; ;Medieval;FOUND
Pedro;155030;PN;FT;;;;;;;;FOUND
Astorga;155047;PLN;FT;http://sws.geonames.org/6358559;Astorga,Astorgo,Asturica Augusta,Estorga,a si tuo er jia,aseutoleuga,astrqt,astwrkha,asutoruga,Асторга,Աստորգա,آستورخا,أسترقة,アストルガ,阿斯托尔加,아스토르가;not;;;null;Geonames;FOUND
Leonart;155070;PPN;PPT;;;;;;;;VALIDATE
Cibdat;155089;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Migael;155111;PPN;PPT;;;;;;;;VALIDATE
Lugo;155129;PLN;FT;http://sws.geonames.org/6359189;Gorad Luga,Lougo,Lucus Augusti,Lugas,Lugo,Lugu,lu gao,lu ge,lu ko,lugo,luko,lwghw,lwgw,rugo,Λούγο,Горад Луга,Луго,Լուգո,לוגו,لوغو,لوگو,लूगो,லுகோ,ลูโก,ლუგო,ሉጎ,ルーゴ,卢戈,盧高,루고;not;;;null;Geonames;FOUND
Johan;155149;PN;FT;;;;;;;;FOUND
