Guadiela;34575;PLN;FT;http://www.geonames.org/3121053/;río Guadiela;not; ; ; ;Medieval;FOUND
Cuenca;34597;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Huepte;34612;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Taio;34654;PLN;FT; ;Tajo;not; ; ; ;Medieval;FOUND
Beteta;34671;PLN;FT;http://sws.geonames.org/6357394; ;not;;;null;Geonames;FOUND
Huelamo;34686;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Castilla;35770;PLN;FT; ;Castiella;not;;;null;Medieval;FOUND
Toledo;35782;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;35792;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;35800;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilla;35812;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;;null;Medieval;FOUND
Cordoua;35823;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murçia;35834;PLN;FT;http://sws.geonames.org/6362997/;Murcia;not;;; ;Medieval;FOUND
Jahen;35847;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;;null;Medieval;FOUND
Toledo;35991;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Toledo;36102;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Toledo;37013;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
denle;41521;PLN;FT;http://sws.geonames.org/3123926;Denle,Dente;not; ; ;null;Geonames;FOUND
Fecha;42143;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Mayo;42207;PPLN;PPT; ; ;not;;; ; ;VALIDATE
La;42256;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Castilla;42418;PLN;FT; ;Castiella;not;;;null;Medieval;FOUND
Toledo;42430;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;42440;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
