cosa;68549;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Fecha;68795;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Fromesta;68944;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Castiella;69137;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Tolledo;69151;PPLN;GENT; ; ;not;;; ; ;VALIDATE
Leon;69162;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;69170;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilla;69182;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;69193;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murcia;69204;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Jahen;69216;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;;null;Medieval;FOUND
Pedro;69237;APLN;AT;http://sws.geonames.org/3114106;Pedro;yes;PN; ;null;Geonames;VALIDATE
cosa;70161;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Fecha;70406;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Fromesta;70556;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Castiella;70749;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;70763;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;70773;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;70781;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilla;70793;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;70804;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murçia;70815;PLN;FT;http://sws.geonames.org/6362997/;Murcia;not;;; ;Medieval;FOUND
Jahen;70827;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;;null;Medieval;FOUND
Monasterio;70913;PLN;FT;http://sws.geonames.org/6357963; ;not;;;null;Geonames;FOUND
Burgos;70927;PLN;FT;http://sws.geonames.org/6356377;Burgi,Burgos,Burgosas,Burgoso,Burgus,brghsh,brgws,bu er ge si,buleugoseu,bur kos,burugosu,bwrgws,Бургос,Бурґос,برغش,برگوس,بورگوس,บูร์โกส,ブルゴス,布尔戈斯,부르고스;not;;;null;Geonames;FOUND
Puerta de Carmona;71050;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Puerta;71209;PLN;FT;http://sws.geonames.org/3113152;Porta,San Pedro;not;;;null;Medieval;FOUND
Carmona;71219;PLN;FT;https://pleiades.stoa.org/places/256058;Carmona;not;;;null;Medieval;FOUND
Alfar;71312;PLN;FT;http://sws.geonames.org/9179370; ;not;;;null;Geonames;FOUND
cosa;71819;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Fecha;72069;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Rey;72111;PLN;FT;http://sws.geonames.org/3111903;Rey;not;;;null;Medieval;FOUND
Fromesta;72216;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Toledo;72409;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;72419;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;72427;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilla;72439;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;72450;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murcia;72461;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Jahen;72473;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;;null;Medieval;FOUND
Martinez;72631;APLN;AT;http://sws.geonames.org/9170045; ;yes;PN; ;null;Geonames;VALIDATE
Orceion;72732;PPLN;PPT; ; ;not;;; ; ;VALIDATE
cosa;73221;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Fecha;73473;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Fromesta;73625;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Castiella;73818;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;73832;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;73842;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;73850;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilla;73862;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;73873;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murcia;73884;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Jahen;73896;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;;null;Medieval;FOUND
Reyna;73917;PLN;FT;https://pleiades.stoa.orghttp://pleiades.stoa.org/places/678362;null;not; ; ;An ancient place, cited: BAtlas 69 B4 Reina;Medieval;FOUND
Infante;73955;PLN;FT;http://sws.geonames.org/9172098; ;not; ; ;null;Geonames;FOUND
Segouia;74563;PLN;FT;http://pleiades.stoa.org/places/236658;Segovia;not;;; ;Medieval;FOUND
cosa;75410;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Fecha;75662;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Seuilla;76206;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Toledo;76247;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Naçar;76330;PLN;FT;http://sws.geonames.org/6359730; ;not; ; ;null;Medieval;FOUND
Granada;76343;PLN;FT;http://sws.geonames.org/6357709;Granada;not;;;null;Medieval;FOUND
Murcia;76421;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Niebla;76480;PLN;FT;https://pleiades.stoa.org/places/256221;Niebla;not;;;null;Medieval;FOUND
Beart;76539;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Limoges;76577;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Burgos;76620;PLN;FT;http://sws.geonames.org/6356377;Burgi,Burgos,Burgosas,Burgoso,Burgus,brghsh,brgws,bu er ge si,buleugoseu,bur kos,burugosu,bwrgws,Бургос,Бурґос,برغش,برگوس,بورگوس,บูร์โกส,ブルゴス,布尔戈斯,부르고스;not;;;null;Geonames;FOUND
Palencia;76661;PLN;FT;http://sws.geonames.org/6360072; ;not;;;null;Geonames;FOUND
Segouia;76703;PLN;FT;http://pleiades.stoa.org/places/236658;Segovia;not;;; ;Medieval;FOUND
Siguença;76743;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Osma;76782;PLN;FT;http://sws.geonames.org/3114836;Osma;not;;;null;Geonames;FOUND
Cuenca;76819;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Auila;76859;PLN;FT;http://pleiades.stoa.org/places/236361;Ávila;not;;; ;Medieval;FOUND
Calahorra;76897;PLN;FT;http://sws.geonames.org/6359026; ;not;;;null;Geonames;FOUND
Cordoua;76938;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Plazencia;76977;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Jahen;77021;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;;null;Medieval;FOUND
Cartagena;77063;PLN;FT;http://sws.geonames.org/6359521; ;not;;;null;Geonames;FOUND
Calatraua;77118;PLN;FT; ; ;not;;; ;Medieval;FOUND
La;77590;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Leon;77604;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Ouiedo;77638;PPLN;PPT; ; ;not;;; ; ;VALIDATE
C'amora;77677;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Salamanca;77717;PLN;FT;http://pleiades.stoa.org/places/236642;Salamanca;not;;; ;Medieval;FOUND
Astorga;77759;PLN;FT;http://sws.geonames.org/6358559;Astorga,Astorgo,Asturica Augusta,Estorga,a si tuo er jia,aseutoleuga,astrqt,astwrkha,asutoruga,Асторга,Աստորգա,آستورخا,أسترقة,アストルガ,阿斯托尔加,아스토르가;not;;;null;Geonames;FOUND
Cibdat;77801;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Lugo;77841;PLN;FT;http://sws.geonames.org/6359189;Gorad Luga,Lougo,Lucus Augusti,Lugas,Lugo,Lugu,lu gao,lu ge,lu ko,lugo,luko,lwghw,lwgw,rugo,Λούγο,Горад Луга,Луго,Լուգո,לוגו,لوغو,لوگو,लूगो,லுகோ,ลูโก,ლუგო,ሉጎ,ルーゴ,卢戈,盧高,루고;not;;;null;Geonames;FOUND
Orens;77878;PLN;FT;https://pleiades.stoa.orghttp://pleiades.stoa.org/places/992080;null;not;;;An ancient place, cited: BAtlas 101 M6 Oriens;Medieval;FOUND
Tuy;77914;PLN;FT;http://sws.geonames.org/6360252;Tuj,Tuy,to~ui,tu yi,twy,Туй,توي,توی,トゥイ,图伊;not;;;null;Medieval;FOUND
Mendonedo;77950;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Coria;78002;PLN;FT;http://sws.geonames.org/6356764;Coria,Còria,Cória,Koria,Korija,ke li ya,qwryt,Кория,Корія,Կորիա,قورية,科里亚;not;;;null;Geonames;FOUND
Silues;78046;PPLN;GENT;http://sws.geonames.org/2514452;Los Silos,Silos;not;;;null;Geonames;VALIDATE
Santiago;78104;APLN;AT;http://sws.geonames.org/9224885; ;yes;PN; ;null;Geonames;VALIDATE
Sanctiago;78326;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Castiella;78499;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Murcia;78560;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Leon;78611;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;78655;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Xodar;78694;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Frontera;78718;PLN;FT;http://sws.geonames.org/6534185; ;not; ; ;null;Geonames;FOUND
Fromesta;78850;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Castiella;79030;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;79043;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;79053;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;79061;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilla;79073;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;79084;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murcia;79095;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Jahen;79105;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;;null;Medieval;FOUND
Carmona;79344;PLN;FT;https://pleiades.stoa.org/places/256058;Carmona;not;;;null;Medieval;FOUND
Seuilla;79503;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Carmona;79568;PLN;FT;https://pleiades.stoa.org/places/256058;Carmona;not;;;null;Medieval;FOUND
Seuilla;79595;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Talauera;79641;PLN;FT;http://pleiades.stoa.org/places/265834;Talavera de la Reina;not;;;null;Freeling;FOUND
Toledo;79669;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Seuilla;79795;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cot;79814;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Moron;79828;PLN;FT;https://pleiades.stoa.org/places/256275;Morón de la Frontera;not;;;null;Medieval;FOUND
Arcos;79844;PLN;FT;http://pleiades.stoa.org/places/255981;Arcos de la Frontera;not;;;null;Medieval;FOUND
Carmona;79884;PLN;FT;https://pleiades.stoa.org/places/256058;Carmona;not;;;null;Medieval;FOUND
Rey;79986;PLN;FT;http://sws.geonames.org/3111903;Rey;not;;;null;Medieval;FOUND
cosa;80200;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Fecha;80451;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Algarue;80781;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Seuilla;80993;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Toledo;81034;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Naçar;81117;PLN;FT;http://sws.geonames.org/6359730; ;not; ; ;null;Medieval;FOUND
Granada;81130;PLN;FT;http://sws.geonames.org/6357709;Granada;not;;;null;Medieval;FOUND
Murcia;81208;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Niebla;81267;PLN;FT;https://pleiades.stoa.org/places/256221;Niebla;not;;;null;Medieval;FOUND
Beart;81326;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Limoges;81364;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Burgos;81407;PLN;FT;http://sws.geonames.org/6356377;Burgi,Burgos,Burgosas,Burgoso,Burgus,brghsh,brgws,bu er ge si,buleugoseu,bur kos,burugosu,bwrgws,Бургос,Бурґос,برغش,برگوس,بورگوس,บูร์โกส,ブルゴス,布尔戈斯,부르고스;not;;;null;Geonames;FOUND
Palencia;81448;PLN;FT;http://sws.geonames.org/6360072; ;not;;;null;Geonames;FOUND
Segouia;81490;PLN;FT;http://pleiades.stoa.org/places/236658;Segovia;not;;; ;Medieval;FOUND
Siguença;81530;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Osma;81569;PLN;FT;http://sws.geonames.org/3114836;Osma;not;;;null;Geonames;FOUND
Cuenca;81606;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Auila;81646;PLN;FT;http://pleiades.stoa.org/places/236361;Ávila;not;;; ;Medieval;FOUND
Calahorra;81684;PLN;FT;http://sws.geonames.org/6359026; ;not;;;null;Geonames;FOUND
Cordoua;81725;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Plazencia;81764;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Jahen;81808;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;;null;Medieval;FOUND
Cartagena;81850;PLN;FT;http://sws.geonames.org/6359521; ;not;;;null;Geonames;FOUND
Calatraua;81905;PLN;FT; ; ;not;;; ;Medieval;FOUND
La;82377;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Leon;82391;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Ouiedo;82425;PPLN;PPT; ; ;not;;; ; ;VALIDATE
C'amora;82464;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Salamanca;82504;PLN;FT;http://pleiades.stoa.org/places/236642;Salamanca;not;;; ;Medieval;FOUND
Astorga;82546;PLN;FT;http://sws.geonames.org/6358559;Astorga,Astorgo,Asturica Augusta,Estorga,a si tuo er jia,aseutoleuga,astrqt,astwrkha,asutoruga,Асторга,Աստորգա,آستورخا,أسترقة,アストルガ,阿斯托尔加,아스토르가;not;;;null;Geonames;FOUND
Cibdat;82588;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Lugo;82628;PLN;FT;http://sws.geonames.org/6359189;Gorad Luga,Lougo,Lucus Augusti,Lugas,Lugo,Lugu,lu gao,lu ge,lu ko,lugo,luko,lwghw,lwgw,rugo,Λούγο,Горад Луга,Луго,Լուգո,לוגו,لوغو,لوگو,लूगो,லுகோ,ลูโก,ლუგო,ሉጎ,ルーゴ,卢戈,盧高,루고;not;;;null;Geonames;FOUND
Orens;82665;PLN;FT;https://pleiades.stoa.orghttp://pleiades.stoa.org/places/992080;null;not;;;An ancient place, cited: BAtlas 101 M6 Oriens;Medieval;FOUND
Tuy;82701;PLN;FT;http://sws.geonames.org/6360252;Tuj,Tuy,to~ui,tu yi,twy,Туй,توي,توی,トゥイ,图伊;not;;;null;Medieval;FOUND
Mendonedo;82737;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Coria;82789;PLN;FT;http://sws.geonames.org/6356764;Coria,Còria,Cória,Koria,Korija,ke li ya,qwryt,Кория,Корія,Կորիա,قورية,科里亚;not;;;null;Geonames;FOUND
Silues;82833;PLN;FT;http://sws.geonames.org/2514452;Los Silos,Silos;not;;;null;Medieval;FOUND
Santiago;82891;APLN;AT;http://sws.geonames.org/9224885; ;yes;PN; ;null;Geonames;VALIDATE
Sanctiago;83113;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Castiella;83286;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Murcia;83347;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Leon;83398;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;83442;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Xodar;83481;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Frontera;83505;PLN;FT;http://sws.geonames.org/6534185; ;not; ; ;null;Geonames;FOUND
Fromesta;83637;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Castiella;83829;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;83843;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;83853;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;83861;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilla;83873;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;83884;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murçia;83895;PLN;FT;http://sws.geonames.org/6362997/;Murcia;not;;; ;Medieval;FOUND
Jaen;83907;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Reyna;83927;PLN;FT;https://pleiades.stoa.orghttp://pleiades.stoa.org/places/678362;null;not; ; ;An ancient place, cited: BAtlas 69 B4 Reina;Medieval;FOUND
Infante;83970;PLN;FT;http://sws.geonames.org/9172098; ;not; ; ;null;Geonames;FOUND
Pere;84038;PPLN;GENT;http://sws.geonames.org/3114399; ;not;;;null;Geonames;VALIDATE
Berbezil;84046;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Torquemada;84309;PLN;FT;http://sws.geonames.org/6360121; ;not;;;null;Geonames;FOUND
cosa;84809;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Fecha;85060;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Rey;85102;PLN;FT;http://sws.geonames.org/3111903;Rey;not;;;null;Medieval;FOUND
Reyna;85249;PLN;FT;https://pleiades.stoa.orghttp://pleiades.stoa.org/places/678362;null;not; ; ;An ancient place, cited: BAtlas 69 B4 Reina;Medieval;FOUND
Algarue;85391;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Eglesia de Sancta Maria;85646;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Seuilla;85650;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Eglesia de Sancta Maria;85721;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Toledo;85725;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Sanctiago;85770;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Naçar;85816;PLN;FT;http://sws.geonames.org/6359730; ;not; ; ;null;Medieval;FOUND
Granada;85829;PLN;FT;http://sws.geonames.org/6357709;Granada;not;;;null;Medieval;FOUND
Rey;85851;PLN;FT;http://sws.geonames.org/3111903;Rey;not;;;null;Medieval;FOUND
Murcia;85908;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;yes;PN; ;null;Medieval;FOUND
Rey;85929;PLN;FT;http://sws.geonames.org/3111903;Rey;not;;;null;Medieval;FOUND
Niebla;85992;PLN;FT;https://pleiades.stoa.org/places/256221;Niebla;yes;PN; ;null;Medieval;FOUND
Rey;86013;PLN;FT;http://sws.geonames.org/3111903;Rey;not;;;null;Medieval;FOUND
Beart;86056;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Limoges;86097;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Burgos;86140;PLN;FT;http://sws.geonames.org/6356377;Burgi,Burgos,Burgosas,Burgoso,Burgus,brghsh,brgws,bu er ge si,buleugoseu,bur kos,burugosu,bwrgws,Бургос,Бурґос,برغش,برگوس,بورگوس,บูร์โกส,ブルゴス,布尔戈斯,부르고스;not;;;null;Geonames;FOUND
Palencia;86181;PLN;FT;http://sws.geonames.org/6360072; ;not;;;null;Geonames;FOUND
Segouia;86224;PLN;FT;http://pleiades.stoa.org/places/236658;Segovia;not;;; ;Medieval;FOUND
Siguença;86264;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Osma;86303;PLN;FT;http://sws.geonames.org/3114836;Osma;not;;;null;Geonames;FOUND
Cuenca;86340;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Auila;86380;PLN;FT;http://pleiades.stoa.org/places/236361;Ávila;not;;; ;Medieval;FOUND
Calahorra;86419;PLN;FT;http://sws.geonames.org/6359026; ;not;;;null;Geonames;FOUND
Cordoua;86459;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Plazencia;86498;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Jaen;86542;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Carthagena;86583;PLN;FT;http://sws.geonames.org/6359521; ;not;;;null;Medieval;FOUND
Calatraua;86638;PLN;FT; ; ;not;;; ;Medieval;FOUND
Ouiedo;87187;PPLN;PPT; ; ;not;;; ; ;VALIDATE
C'amora;87226;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Salamanca;87266;PLN;FT;http://pleiades.stoa.org/places/236642;Salamanca;not;;; ;Medieval;FOUND
Astorga;87306;PLN;FT;http://sws.geonames.org/6358559;Astorga,Astorgo,Asturica Augusta,Estorga,a si tuo er jia,aseutoleuga,astrqt,astwrkha,asutoruga,Асторга,Աստորգա,آستورخا,أسترقة,アストルガ,阿斯托尔加,아스토르가;not; ; ;null;Geonames;FOUND
Cibdat;87347;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Lugo;87387;PLN;FT;http://sws.geonames.org/6359189;Gorad Luga,Lougo,Lucus Augusti,Lugas,Lugo,Lugu,lu gao,lu ge,lu ko,lugo,luko,lwghw,lwgw,rugo,Λούγο,Горад Луга,Луго,Լուգո,לוגו,لوغو,لوگو,लूगो,லுகோ,ลูโก,ლუგო,ሉጎ,ルーゴ,卢戈,盧高,루고;not;;;null;Geonames;FOUND
Orens;87424;PLN;FT;https://pleiades.stoa.orghttp://pleiades.stoa.org/places/992080;null;not;;;An ancient place, cited: BAtlas 101 M6 Oriens;Medieval;FOUND
Tui;87460;PLN;FT;http://sws.geonames.org/6360252;Tuj,Tuy,to~ui,tu yi,twy,Туй,توي,توی,トゥイ,图伊;not;;;null;Geonames;FOUND
Mendonedo;87496;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Coria;87547;PLN;FT;http://sws.geonames.org/6356764;Coria,Còria,Cória,Koria,Korija,ke li ya,qwryt,Кория,Корія,Կորիա,قورية,科里亚;not;;;null;Geonames;FOUND
Silue;87590;PLN;FT;https://pleiades.stoa.orghttp://pleiades.stoa.org/places/688028;null;not;;;An ancient place, cited: BAtlas 70 G1 Silo;Medieval;FOUND
Santiago;87647;APLN;AT;http://sws.geonames.org/9224885; ;yes;PN; ;null;Geonames;VALIDATE
Sanctiago;87868;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Murcia;88132;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Leon;88183;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;88227;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Xodar;88266;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Fromesta;88413;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Castiella;88594;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;88607;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;88617;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;88625;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilla;88637;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;88648;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murcia;88659;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Jahen;88671;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;;null;Medieval;FOUND
Segouia;88825;PLN;FT;http://pleiades.stoa.org/places/236658;Segovia;not;;; ;Medieval;FOUND
Boriauenzohar;88873;PLN;FT;http://www.geonames.org/2521154/;Benacazón;not; ; ;null;Medieval;FOUND
Segouiola;88907;PLN;FT;http://www.geonames.org/2521154/;Benacazón;not; ; ;null;Medieval;FOUND
Pedro;89330;APLN;AT;http://sws.geonames.org/3114106;Pedro;yes;PN; ;null;Geonames;VALIDATE
De;89558;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Boriauenzohar;89591;PLN;FT;http://www.geonames.org/2521154/;Benacazón;not; ; ;null;Medieval;FOUND
