Munnoz;7288;PPLN;GENT;http://sws.geonames.org/3115884;Munoz,Muñoz,QLM; ; ; ;null;Geonames;VALIDATE
Yuannes;7304;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Diago;7313;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Fortun;7328;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Rey;7354;PLN;FT;http://sws.geonames.org/3111903;Rey;not;;;null;Medieval;FOUND
Seuilla;7475;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not; ; ; ;Medieval;FOUND
Vela;7530;PPLN;GENT;https://pleiades.stoa.orghttp://pleiades.stoa.org/places/438868;null; ; ; ;An ancient place, cited: BAtlas 44 unlocated Vella;Pleiades;VALIDATE
cosa;8147;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Fecha;8397;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Rey;8439;PLN;FT;http://sws.geonames.org/3111903;Rey;not;;;null;Medieval;FOUND
Fromesta;8542;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Castiella;8715;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;8728;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;8738;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;8746;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilla;8758;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;8769;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murcia;8780;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Jaen;8792;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Forniellos;8831;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Santiague;8891;PPLN;GENT; ; ;not;;; ; ;VALIDATE
Baeça;8966;PLN;FT;https://pleiades.stoa.org/places/266099;Baeza;not;;;null;Medieval;FOUND
Gutier;9005;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Lop;9061;PPLN;PPT; ; ;not;;; ; ;VALIDATE
La;9227;PPLN;PPT;;;not;;;;;VALIDATE
Renconada;9230;PPLN;PPT;;;not;;;;;VALIDATE
Seuilla;9304;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Munno;9426;PPLN;PPT; ; ;not;;; ; ;VALIDATE
